Zip Code,Address,County,City
94038,170 Los Banos Avenue,San Mateo,Moss Beach
94303,2201 Addison Avenue,San Mateo,Palo Alto
94019,255 Palma Street,San Mateo,Half Moon Bay
94080,104 Rosa Flora Circle,San Mateo,South San Francisco
94080,202 Chapman Avenue,San Mateo,South San Francisco
94080,202 Crown Circle,San Mateo,South San Francisco
94080,310 Hazelwood Drive,San Mateo,South San Francisco
94066,2060 Spyglass Drive,San Mateo,San Bruno
94014,667 Sylvan Street,San Mateo,Daly City
,,San Mateo,
,,San Mateo,
,,San Mateo,
,,San Mateo,
,,San Mateo,
